title,content,created_utc,clean_text,sentiment,sentiment_class,timestamp
Possible Collaboration of XRP & ADA?,"This is all just my speculation, here are some events which happened recently for ADA and XRP:

\-Cardano founder Charles Hoskinson announced plans to work with the incoming Trump administration to develop clear crypto regulations. 

\-Charles Hoskinson talked to the CEO of Ripple (Brad Garlinghouse), and it seems like they buried their beef. Also Charles was saying the CEO was ""extremly collaborative"" 

\-Now he had a talk with the Chief of Technology (CTO) of Ripple. Maybe they plan to collaborate and that's why he talked with the CTO of Ripple afterwards? 

\-Trump plans to remove capital gains tax from US cryptocurrencies (this would include XRP and ADA)

\- There is a rumor Brad Garlinghouse met with Trump 

There are many common grounds and goals and a very promising environment. The market is reacting and the price of those coins are moving despite there is not an official partnership announcement.

  
(Sources in comment, can't post links in my post without getting auto deleted)",1732016082.0,possible collaboration xrp ada speculation events happened recently ada xrp cardano founder charles hoskinson announced plans work incoming trump administration develop clear crypto regulations charles hoskinson talked ceo ripple brad garlinghouse seems like buried beef also charles saying ceo extremly collaborative talk chief technology cto ripple maybe plan collaborate thats talked cto ripple afterwards trump plans remove capital gains tax us cryptocurrencies would include xrp ada rumor brad garlinghouse met trump many common grounds goals promising environment market reacting price coins moving despite official partnership announcement sources comment cant post links post without getting auto deleted,0.8481,positive,2024-11-19 11:34:42
Ripple's XRP sees over $4 billion in profit-taking following surge in whale activity,,1733287093.0,ripples xrp sees billion profittaking following surge whale activity,0.0,neutral,2024-12-04 04:38:13
Brad Garlinghouse Slams ’60 Minutes’ Edit For Omitting XRP Legal Victory,,1733818891.0,brad garlinghouse slams minutes edit omitting xrp legal victory,0.128,positive,2024-12-10 08:21:31
"Why Bitcoin's Rally Is Stalling Below $100,000 ",,1732545117.0,bitcoins rally stalling,-0.2023,negative,2024-11-25 14:31:57
"Beware of these Youtubers, their top comments are all bots. ",,1733143992.0,beware youtubers top comments bots,0.2023,positive,2024-12-02 12:53:12
XRP Price Hits 3-Year High At $1.6 - 2 Ways It Can Go From Here,,1732522581.0,xrp price hits year high ways go,0.0,neutral,2024-11-25 08:16:21
Ripple CEO Brad Garlinghouse questions '60 Minutes' omission of key XRP legal victory,,1733752930.0,ripple ceo brad garlinghouse questions minutes omission key xrp legal victory,0.128,positive,2024-12-09 14:02:10
"Ripple CEO Brad Garlinghouse Says XRP ETF Is Inevitable
",,1729709205.0,ripple ceo brad garlinghouse says xrp etf inevitable,0.0,neutral,2024-10-23 18:46:45
"The worst part about being into crypto in 2014 wasn’t that people didn’t believe you, it was how they talked down to you and tried to ‘educate you’.","It was infuriating.  I remember discovering Dogecoin back in early 2014 when $500 would buy you a million, and my friend tried to explain to me (patiently) how that was just a fad and if i really wanted to be a millionaire one day I needed to read some 'Boglehead books' and learn about ETFs and mutual funds.  

When i tried to tell my coworkers about bitcoin they all patiently explained to me (how an adult might explain to a child) that Bitcoin wasn't actually worth anything and it wasn't ""backed by anything"".  

I was excited to meet my girlfriend's friend's boyfriend once because i heard he was into finance.  He basically spent the entire dinner cracking jokes at my expense and explaining how little i understood money.  

When i tried to tell my investment buddy about Monero, and begged him to get into it at 30 cents, he thought it was stupid and said he thought Visa was a better investment for money.  Then when Monero went to $2 each and i continued to rant to him his reaction was ""nice, you sold it all right?"".  Then when it went to $12 each he legit got mad at me that I wouldn't sell it.  By the time it was $50 each he stopped talking to me.  

If you've been in crypto for more than 10 years, it's been an exhausting and frustrating experience.  

And no, I'm not even close to rich.  I've lost all my money since then thanks to bad investments, taxes, and overspending.  Making money isn't the same as managing wealth, which is a lesson i pray you are one day rich enough to suffer.",1733328932.0,worst part crypto wasnt people didnt believe talked tried educate infuriating remember discovering dogecoin back early would buy million friend tried explain patiently fad really wanted millionaire one day needed read boglehead books learn etfs mutual funds tried tell coworkers bitcoin patiently explained adult might explain child bitcoin wasnt actually worth anything wasnt backed anything excited meet girlfriends friends boyfriend heard finance basically spent entire dinner cracking jokes expense explaining little understood money tried tell investment buddy monero begged get cents thought stupid said thought visa better investment money monero went continued rant reaction nice sold right went legit got mad wouldnt sell time stopped talking youve crypto years exhausting frustrating experience im even close rich ive lost money since thanks bad investments taxes overspending making money isnt managing wealth lesson pray one day rich enough suffer,-0.8243,negative,2024-12-04 16:15:32
Bitwise has filed an XRP ETF,,1727815110.0,bitwise filed xrp etf,0.0,neutral,2024-10-01 20:38:30
RLUSD / XRP - Explained,,1733872836.0,rlusd xrp explained,0.0,neutral,2024-12-10 23:20:36
XRP Price Spikes to 3-Year High as Optimism Surges Over SEC Shakeup,,1732392137.0,xrp price spikes year high optimism surges sec shakeup,0.4404,positive,2024-11-23 20:02:17
Is there a Double Your XRP Scam on Ripple’s YouTube Channel,Is this real or scam? Please let me know ,1733793006.0,double xrp scam ripples youtube channel real scam please let know,-0.7269,negative,2024-12-10 01:10:06
XRP -self custody wallets released 9xrp ,"Ripple wallets have always taken a 10xrp reserved amount that becomes locked up and won't show in balance.


Very recently with the dramatic rise in xrp value, ripple reduced the reserved component from 10xrp to 1xrp.

meaning anyone with a xrp wallet can now withdraw 9 xrp (~$22).

most wallet software (trust for example) still won't show it available.

however if you load up the official ripple supported wallet - xaman - you'll see the 9xrp and can withdraw it right away.

i managed to collect $44 from my 2 wallets.

obviously you must have the PK for the wallet, not relevant to exchange wallets.

sorry if this has already been posted i don't browse this sub much.

but it might be a nice little surprise for anyone unaware :)",1733780990.0,xrp self custody wallets released xrp ripple wallets always taken xrp reserved amount becomes locked wont show balance recently dramatic rise xrp value ripple reduced reserved component xrp xrp meaning anyone xrp wallet withdraw xrp wallet software trust example still wont show available however load official ripple supported wallet xaman youll see xrp withdraw right away managed collect wallets obviously must pk wallet relevant exchange wallets sorry already posted dont browse sub much might nice little surprise anyone unaware,0.868,positive,2024-12-09 21:49:50
The scariest thing about all of this...,"If 2021 ptsd has thought me anything, it's that any day could be your last day. I remember 2021 where right after the summer all cryptos were exploding like crazy. Felt like a fucking mastermind and kept making screenshots of my gains. All in on Cardano and XRP. There had been huge dips before, and every time it happened, people kept saying ""It's just a healthy correction after all the growth we've had"". And every time they were right; it DID go back up, and not just to the old price before the dip but even higher.

But then around 15 november (literally still know the date from memory) it dipped again, HARD. I kept buying dip after dip thinking I am a genius, and once this mf goes back up to the price of 1-2 weeks ago I will make thousands of profit. But it kept dipping again and again. Damnit I must've had bought my 16th dip by the time I realised that it's too late. We've entered the bear market again and my position for the next 3 years will be to hold these bags in one hand, and this L in my other hand. At one point my bag was from 30k initial investment to 12k (swear to God). Then at the start of this year finally after 2,5 years of stress and praying to see at least my initial investment back, I finally was in the green again. And once again I got greedy and thought, nahh this time I'm gonna make at least 2 x my initial investment, and then I'm out. But again... it dipped like a mf. Then last week I was finally in the green again... and again it dipped like a mf. I'm just here to let people know that any day could be your last and don't get greedy for more. Take profits, or at least take your initial investment out. Don't be a bag holder and carry stress for the coming 3 years like I did MULTIPLE times. I'll be damned if I don't take profits next time I get a chance. NFA.",1733741346.0,scariest thing ptsd thought anything day could last day remember right summer cryptos exploding like crazy felt like fucking mastermind kept making screenshots gains cardano xrp huge dips every time happened people kept saying healthy correction growth weve every time right go back old price dip even higher around november literally still know date memory dipped hard kept buying dip dip thinking genius mf goes back price weeks ago make thousands profit kept dipping damnit mustve bought th dip time realised late weve entered bear market position next years hold bags one hand l hand one point bag k initial investment k swear god start year finally years stress praying see least initial investment back finally green got greedy thought nahh time im gonna make least x initial investment im dipped like mf last week finally green dipped like mf im let people know day could last dont get greedy take profits least take initial investment dont bag holder carry stress coming years like multiple times ill damned dont take profits next time get chance nfa,0.9595,positive,2024-12-09 10:49:06
"XRP - Ripple, the future of Global Finance?",,1733797464.0,xrp ripple future global finance,0.0,neutral,2024-12-10 02:24:24
Ripple launches first tokenized money market fund on XRP ledger through UK partnership,,1732625520.0,ripple launches first tokenized money market fund xrp ledger uk partnership,0.0,neutral,2024-11-26 12:52:00
Gary Gensler Releases Statement Suggesting He is Leaving The SEC,,1731655041.0,gary gensler releases statement suggesting leaving sec,0.0,neutral,2024-11-15 07:17:21
WisdomTree files with SEC for spot XRP ETF,,1733167635.0,wisdomtree files sec spot xrp etf,0.0,neutral,2024-12-02 19:27:15
XRP On Fire: 90% Weekly Growth Lifts Coin To Fresh 2-Year High,,1732020695.0,xrp fire weekly growth lifts coin fresh year high,0.3612,positive,2024-11-19 12:51:35
XRP News Today: XRP Eyes $3.55 High Amid SEC Shake-Up and Spot ETF Hopes,,1733647485.0,xrp news today xrp eyes high amid sec shakeup spot etf hopes,0.296,positive,2024-12-08 08:44:45
